utterance,gold_sql,query_class,state,annotator,nl_user_1,nl_user_2,state_auditor,execution_pass,kappa_agreement,date_completed,notes
"How many shots were taken in the game on December 19th?","SELECT COUNT(*) FROM shot_charts WHERE game_id IN (SELECT game_id FROM games WHERE DATE(date) = '2023-12-19')","Game/Matchup Context","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Specific game date join via subquery. DATE(date) cast handles timestamp. 2023-12-19 = game_id 0022300362 (busiest game in dataset)."
"How many were made in that game?","SELECT COUNT(*) FROM shot_charts WHERE game_id IN (SELECT game_id FROM games WHERE DATE(date) = '2023-12-19') AND made_flag = 1","Game/Matchup Context","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: carries December 19 game forward. Adds made_flag = 1."
"How many shots came from the game on October 30th?","SELECT COUNT(*) FROM shot_charts WHERE game_id IN (SELECT game_id FROM games WHERE DATE(date) = '2023-10-30')","Game/Matchup Context","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Date-based game lookup. 2023-10-30 = game_id 0022300103 (third busiest)."
"What about April 12th?","SELECT COUNT(*) FROM shot_charts WHERE game_id IN (SELECT game_id FROM games WHERE DATE(date) = '2024-04-12')","Game/Matchup Context","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 2: date swap to 2024-04-12 (game_id 0022301173). Tests implicit carryover of 'shots from game' pattern."
"How many shots came from regular season games?","SELECT COUNT(*) FROM shot_charts WHERE game_id IN (SELECT game_id FROM games WHERE season_type = 'Regular')","Game/Matchup Context","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"season_type = 'Regular'. All shot_charts rows are regular season (002xxxxxxx). Verified: 7396."
"Which regular season game had the most shot attempts?","SELECT g.game_id, g.date, COUNT(*) as attempts FROM shot_charts sc JOIN games g ON sc.game_id = g.game_id WHERE g.season_type = 'Regular' GROUP BY g.game_id, g.date ORDER BY attempts DESC LIMIT 1","Game/Matchup Context","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: regular season filter carried; adds GROUP BY game + ORDER BY attempts. Finds busiest game."
"How many shots in the most recent game in the dataset?","SELECT COUNT(*) FROM shot_charts WHERE game_id = (SELECT game_id FROM games ORDER BY date DESC LIMIT 1)","Game/Matchup Context","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Bug 12 resolved: playoff shots (1593) now loaded. Most recent game = 0042300405 (2024-06-17, NBA Finals G5). Verified: 89 shots."
"How many shots were there in games played in January 2024?","SELECT COUNT(*) FROM shot_charts WHERE game_id IN (SELECT game_id FROM games WHERE DATE(date) BETWEEN '2024-01-01' AND '2024-01-31')","Game/Matchup Context","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Month-scoped date range via BETWEEN. January 2024 window."
"Which month had the most shot attempts?","SELECT TO_CHAR(g.date, 'YYYY-MM') as month, COUNT(*) as attempts FROM shot_charts sc JOIN games g ON sc.game_id = g.game_id GROUP BY month ORDER BY attempts DESC LIMIT 1","Game/Matchup Context","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"TO_CHAR truncates date to month string. GROUP BY month then ORDER BY attempts. Tests date function in aggregation."
"How many games were played in March 2024?","SELECT COUNT(DISTINCT game_id) FROM games WHERE DATE(date) BETWEEN '2024-03-01' AND '2024-03-31'","Game/Matchup Context","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"COUNT DISTINCT game_id for March 2024 date window."
"How many shots came from those March games?","SELECT COUNT(*) FROM shot_charts WHERE game_id IN (SELECT game_id FROM games WHERE DATE(date) BETWEEN '2024-03-01' AND '2024-03-31')","Game/Matchup Context","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Turn 2: March 2024 date range carried forward via subquery join."
"How many shots were taken in game 0022300362?","SELECT COUNT(*) FROM shot_charts WHERE game_id = '0022300362'","Game/Matchup Context","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Direct game_id lookup. Tests NL use of explicit game_id string. Busiest game in dataset."
"How many of those were 3-pointers?","SELECT COUNT(*) FROM shot_charts WHERE game_id = '0022300362' AND shot_type = '3PT Field Goal'","Game/Matchup Context","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Turn 2: game_id carried forward. Adds 3PT filter."
"How many shots in games played in the first week of November 2023?","SELECT COUNT(*) FROM shot_charts WHERE game_id IN (SELECT game_id FROM games WHERE DATE(date) BETWEEN '2023-11-01' AND '2023-11-07')","Game/Matchup Context","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"7-day window via BETWEEN. 'First week' maps to Nov 1-7."
"How many distinct games did Jayson Tatum appear in?","SELECT COUNT(DISTINCT game_id) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Jayson Tatum%')","Game/Matchup Context","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"COUNT DISTINCT game_id filtered by player. Tests player + game context combination."
