utterance,gold_sql,query_class,state,annotator,nl_user_1,nl_user_2,state_auditor,execution_pass,kappa_agreement,date_completed,notes
"How many shots did Jayson Tatum take from the left corner in Q4?","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Jayson Tatum%') AND x <= -220 AND y <= 90 AND period = 4","Spatial Zone + Player + Temporal","approved","Rosalina","Craig","Sean","Craig",TRUE,0.82,2026-06-15,"Player name resolved; zone boundaries validated against coordinate system"
"3-pointers above the break?","SELECT COUNT(*) FROM shot_charts WHERE shot_type = '3PT' AND y > 90 AND shot_distance > 220","Spatial Zone","approved","Rosalina","Craig","Sean","Craig",TRUE,0.82,2026-06-15,"Implicit: same player as Turn 1 if multi-turn; marked as standalone single-turn"
"With less than 1 minute remaining in Q4?","SELECT COUNT(*) FROM shot_charts WHERE game_clock <= 60 AND period = 4","Temporal Scope","approved","Rosalina","Sean","Craig","Sean",TRUE,0.78,2026-06-16,"Clarified: game_clock (time left in period) not shot_clock"
"By the starting five?","SELECT COUNT(*) FROM shot_charts WHERE player_id IN (SELECT player_id FROM lineups WHERE lineup_role = 'starter') AND game_id IN (SELECT game_id FROM games WHERE season_type = '2023-24')","Player/Entity","clarification_needed","Rosalina","Craig","Sean","Craig",FALSE,0.65,2026-06-16,"Ambiguity: 'starting five' requires lineup table; needs definition of starter. Excluded from analysis pending resolution."
"More made than missed in the second half?","SELECT period, SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) as makes, SUM(CASE WHEN made_flag = 0 THEN 1 ELSE 0 END) as misses FROM shot_charts WHERE period IN (3, 4) GROUP BY period HAVING SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) > SUM(CASE WHEN made_flag = 0 THEN 1 ELSE 0 END)","Comparative Aggregation","approved","Rosalina","Sean","Craig","Sean",TRUE,0.78,2026-06-17,"Correctly interpreted 'more made than missed' as HAVING clause with case statement comparison"
"What about his 3-pointers in the paint?","SELECT COUNT(*) FROM shot_charts WHERE player_id = 123 AND shot_type = '3PT' AND ABS(x) <= 80 AND y <= 190","Multi-Turn Coreference","approved","Rosalina","Craig","Sean","Craig",TRUE,0.88,2026-06-18,"Turn 2 of multi-turn dialogue; resolved 'his' to player_id 123 from Turn 1 context; 3PT + paint zone applied"
"In the Celtics-Lakers game on December 15th?","SELECT * FROM shot_charts WHERE game_id IN (SELECT game_id FROM games WHERE ((home_team = 'BOS' AND away_team = 'LAL') OR (home_team = 'LAL' AND away_team = 'BOS')) AND DATE(game_date) = '2023-12-15')","Game/Matchup Context","approved","Rosalina","Sean","Craig","Sean",TRUE,0.85,2026-06-19,"Team names resolved (BOS, LAL); requires join on games table"
"Contested shots with less than 5 seconds on the shot clock?","SELECT COUNT(*) FROM shot_charts WHERE defender IS NOT NULL AND period_seconds_remaining < 5","Shot Characteristics","clarification_needed","Rosalina","Craig","Sean","Craig",FALSE,0.65,2026-06-20,"SCHEMA BUG FIXED: nba_api SECONDS_REMAINING = period time remaining, NOT shot clock. Renamed column to period_seconds_remaining. Query now filters on period time, not shot-clock time. Shot-clock data unavailable in this dataset — any 'shot clock' NL query must be flagged clarification_needed."
"Average shooting percentage per player in the playoffs?","SELECT player_id, CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as shooting_pct FROM shot_charts WHERE game_id IN (SELECT game_id FROM games WHERE season_type = 'Playoffs') GROUP BY player_id ORDER BY shooting_pct DESC","Comparative Aggregation + Temporal","approved","Rosalina","Sean","Craig","Sean",TRUE,0.80,2026-06-21,"Correctly computed percentage as FLOAT division; season_type filter applied"
"How many assists did the team record in home games?","SELECT COUNT(*) FROM play_by_play WHERE event_type = 'ASSIST' AND game_id IN (SELECT game_id FROM games WHERE home_team = 'BOS')","Simple Aggregation + Game Context","needs_revision","Rosalina","Craig","Sean","Craig",FALSE,0.72,2026-06-22,"Column 'event_type' vs. actual API schema differs; needs verification against actual play_by_play table. Execution failed. Revising..."
