utterance,gold_sql,query_class,state,annotator,nl_user_1,nl_user_2,state_auditor,execution_pass,kappa_agreement,date_completed,notes
"How many shots were taken in Q4?","SELECT COUNT(*) FROM shot_charts WHERE period = 4","Temporal Scope","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Period = 4. Verified: 1742 rows."
"What about Q3?","SELECT COUNT(*) FROM shot_charts WHERE period = 3","Temporal Scope","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: independent period swap. Verified live."
"How many attempts in the final 2 minutes of Q4?","SELECT COUNT(*) FROM shot_charts WHERE period = 4 AND (minutes_remaining * 60 + period_seconds_remaining) <= 120","Temporal Scope","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Bug 11 resolved: minutes_remaining backfilled via re-collection. Verified: 345 shots. Formula: total_secs = minutes_remaining * 60 + period_seconds_remaining."
"Only made shots in that window.","SELECT COUNT(*) FROM shot_charts WHERE period = 4 AND (minutes_remaining * 60 + period_seconds_remaining) <= 120 AND made_flag = 1","Temporal Scope","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 2 of pair 3. Bug 11 resolved. Verified: 165 made shots in Q4 final 2 min."
"How many shots in overtime?","SELECT COUNT(*) FROM shot_charts WHERE period >= 5","Temporal Scope","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Overtime: period >= 5. Verified: 50 OT shots, 6 OT games."
"How many games went to overtime?","SELECT COUNT(DISTINCT game_id) FROM shot_charts WHERE period >= 5","Temporal Scope","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: COUNT DISTINCT game_id from same filter. Returns 6."
"How many shots in playoff games?","SELECT COUNT(*) FROM shot_charts WHERE game_id IN (SELECT game_id FROM games WHERE season_type = 'Playoff')","Temporal Scope","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Bug 12 resolved: ShotChartDetail requires season_type_all_star='Playoffs' parameter (game_id_nullable blocks playoff results). 1593 playoff shots loaded. Verified: 1593."
"What was the field goal percentage in the playoffs?","SELECT CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts WHERE game_id IN (SELECT game_id FROM games WHERE season_type = 'Playoff')","Temporal Scope + Comparative","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 2 of pair 7. Bug 12 resolved. Verified: playoff FG% = 0.469 (46.9%)."
"How many shots in the first half?","SELECT COUNT(*) FROM shot_charts WHERE period IN (1, 2)","Temporal Scope","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"First half = periods 1 and 2. Verified: 3808 shots."
"Compare first half vs second half attempts.","SELECT CASE WHEN period IN (1,2) THEN 'first_half' ELSE 'second_half' END as half, COUNT(*) as attempts FROM shot_charts WHERE period BETWEEN 1 AND 4 GROUP BY half","Temporal Scope + Comparative","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: CASE WHEN splits halves; BETWEEN 1 AND 4 excludes OT. Verified live."
"How many shots in the last 30 seconds of any period?","SELECT COUNT(*) FROM shot_charts WHERE (minutes_remaining * 60 + period_seconds_remaining) <= 30","Temporal Scope","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Bug 11 resolved. Verified: 415 shots in final 30 sec of any period."
"Which period had the most attempts in those final 30 seconds?","SELECT period, COUNT(*) as attempts FROM shot_charts WHERE (minutes_remaining * 60 + period_seconds_remaining) <= 30 GROUP BY period ORDER BY attempts DESC LIMIT 1","Temporal Scope","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 2 of pair 11. Bug 11 resolved. Verified: period 3 has most with 127 shots."
"How many games were played in December 2023?","SELECT COUNT(DISTINCT game_id) FROM games WHERE DATE(date) BETWEEN '2023-12-01' AND '2023-12-31'","Temporal Scope","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Date range BETWEEN on games.date. Verified: 14 games."
"How many shots came from those December games?","SELECT COUNT(*) FROM shot_charts WHERE game_id IN (SELECT game_id FROM games WHERE DATE(date) BETWEEN '2023-12-01' AND '2023-12-31')","Temporal Scope","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: December date range via subquery join. Verified live."
"How many regular season games are in the dataset?","SELECT COUNT(DISTINCT game_id) FROM games WHERE season_type = 'Regular'","Temporal Scope","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"season_type = 'Regular'. Verified: 82 games."
"What about just the home games?","SELECT COUNT(DISTINCT game_id) FROM games WHERE season_type = 'Regular' AND home_team ILIKE '%Boston%'","Temporal Scope + Game Context","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 2: adds home_team ILIKE '%Boston%'. Handles 'Boston Celtics' string."
"How many shots with more than 10 minutes left in the first quarter?","SELECT COUNT(*) FROM shot_charts WHERE period = 1 AND (minutes_remaining * 60 + period_seconds_remaining) > 600","Temporal Scope","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Bug 11 resolved. 10 minutes = 600 total seconds. Verified: 379 shots with >10 min left in Q1."
"Were there more shots in Q1 or Q4?","SELECT period, COUNT(*) as attempts FROM shot_charts WHERE period IN (1, 4) GROUP BY period ORDER BY period","Temporal Scope + Comparative","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Verified: Q1=1944, Q4=1742. Q1 wins."
