utterance,gold_sql,query_class,state,annotator,nl_user_1,nl_user_2,state_auditor,execution_pass,kappa_agreement,date_completed,notes
"How many total shot attempts are in the dataset?","SELECT COUNT(*) FROM shot_charts","Simple Aggregation","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Baseline count — no filter. Verified: 7396 total shots."
"How many were made?","SELECT COUNT(*) FROM shot_charts WHERE made_flag = 1","Simple Aggregation","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: adds made_flag = 1. No player or zone filter — whole dataset."
"How many games are in the dataset?","SELECT COUNT(DISTINCT game_id) FROM games","Simple Aggregation","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"COUNT DISTINCT on games table. Verified: 106 total games."
"How many players appear in the shot data?","SELECT COUNT(DISTINCT player_id) FROM shot_charts","Simple Aggregation","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"COUNT DISTINCT player_id from shot_charts — counts only players who actually attempted a shot, not all 5103 in players table."
"How many 3-point attempts were there in total?","SELECT COUNT(*) FROM shot_charts WHERE shot_type = '3PT Field Goal'","Simple Aggregation","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"shot_type = '3PT Field Goal' exact string. Turn 2 candidate: could follow with 'how many were made'."
"How many of those went in?","SELECT COUNT(*) FROM shot_charts WHERE shot_type = '3PT Field Goal' AND made_flag = 1","Simple Aggregation","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: carries forward 3PT filter; adds made_flag = 1."
"How many 2-point attempts were there?","SELECT COUNT(*) FROM shot_charts WHERE shot_type = '2PT Field Goal'","Simple Aggregation","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"shot_type = '2PT Field Goal'. Complement of pair 5."
"What is the total number of play-by-play events?","SELECT COUNT(*) FROM play_by_play","Simple Aggregation","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Baseline count of play_by_play table. Verified: 49548 events."
"How many distinct event types are there?","SELECT COUNT(DISTINCT event_type) FROM play_by_play","Simple Aggregation","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"COUNT DISTINCT on event_type column in play_by_play."
"How many shot attempts did the team take in Q1?","SELECT COUNT(*) FROM shot_charts WHERE period = 1","Simple Aggregation","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Single period filter. Verified: 1944 shots in Q1."
"How many were 3-pointers?","SELECT COUNT(*) FROM shot_charts WHERE period = 1 AND shot_type = '3PT Field Goal'","Simple Aggregation","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Turn 2: carries forward period = 1; adds 3PT filter."
"How many distinct opponents did the Celtics face?","SELECT COUNT(DISTINCT away_team) FROM games WHERE home_team ILIKE '%Boston%'","Simple Aggregation","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Bug 13 resolved: home_team/away_team populated via MATCHUP parse. Verified: 29 distinct opponents."
"How many home games did they play?","SELECT COUNT(*) FROM games WHERE home_team ILIKE '%Boston%'","Simple Aggregation","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Bug 13 resolved. Verified: 54 home games."
"How many away games?","SELECT COUNT(*) FROM games WHERE away_team ILIKE '%Boston%'","Simple Aggregation","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Bug 13 resolved. Verified: 52 away games."
"How many shot attempts came from inside the paint?","SELECT COUNT(*) FROM shot_charts WHERE ABS(x) <= 80 AND y <= 190","Simple Aggregation","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Paint zone filter: ABS(x) <= 80 AND y <= 190. Verified: 3344 shots."
"How many of those were missed?","SELECT COUNT(*) FROM shot_charts WHERE ABS(x) <= 80 AND y <= 190 AND made_flag = 0","Simple Aggregation","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 2: paint zone + made_flag = 0 (missed)."
"How many shots came from beyond 25 feet?","SELECT COUNT(*) FROM shot_charts WHERE distance > 25","Simple Aggregation","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Distance in whole feet. Deep 3 / half-court range. Straightforward range filter."
"How many plays involved Jayson Tatum?","SELECT COUNT(*) FROM play_by_play WHERE player_ids = (SELECT CAST(player_id AS TEXT) FROM players WHERE name ILIKE '%Jayson Tatum%')","Simple Aggregation","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Joins play_by_play.player_ids (stored as text) to players subquery. player_id = 1628369. CAST to TEXT for string comparison."
