utterance,turn_index,prior_utterance,gold_sql,query_class,state,annotator,nl_user_1,nl_user_2,state_auditor,execution_pass,kappa_agreement,date_completed,notes
"How many shots did Jayson Tatum take from the left corner?",1,"","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Jayson Tatum%') AND x <= -220 AND y <= 90","Multi-Turn Coreference","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Turn 1 anchor: establishes player=Tatum + zone=left_corner. Context carried to Turn 2."
"How many did he make?",2,"How many shots did Jayson Tatum take from the left corner?","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Jayson Tatum%') AND x <= -220 AND y <= 90 AND made_flag = 1","Multi-Turn Coreference","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"'he' → Tatum (Turn 1). Left corner zone carried forward. Adds made_flag = 1. Minimal delta — pronoun only."
"What about from the right corner?",3,"How many did he make?","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Jayson Tatum%') AND x >= 220 AND y <= 90 AND made_flag = 1","Multi-Turn Coreference","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"'What about' = same player + same made_flag filter from Turn 2; only zone changes. Tests implicit carryover of player AND made constraint across two prior turns."
"How many 3-pointers did Jaylen Brown attempt above the break?",1,"","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Jaylen Brown%') AND shot_type = '3PT Field Goal' AND y > 90 AND distance > 22","Multi-Turn Coreference","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 1 anchor: player=J.Brown + shot_type=3PT + zone=above_break_3."
"And his percentage on those?",2,"How many 3-pointers did Jaylen Brown attempt above the break?","SELECT CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Jaylen Brown%') AND shot_type = '3PT Field Goal' AND y > 90 AND distance > 22","Multi-Turn Coreference","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"'his' → J.Brown. 'those' → above-break 3PT filter from Turn 1 fully carried. Metric changes to FG%."
"Show me Derrick White's shots in Q4.",1,"","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Derrick White%') AND period = 4","Multi-Turn Coreference","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 1 anchor: player=White + period=4."
"How many were from 3?",2,"Show me Derrick White's shots in Q4.","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Derrick White%') AND period = 4 AND shot_type = '3PT Field Goal'","Multi-Turn Coreference","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"'were' carries player=White + period=4 from Turn 1. '3' resolves to shot_type = '3PT Field Goal'. Tests zone vs shot_type disambiguation."
"What about in Q3?",3,"How many were from 3?","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Derrick White%') AND period = 3 AND shot_type = '3PT Field Goal'","Multi-Turn Coreference","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"'What about' = same player + same shot_type from Turn 2; only period changes. Tests 3-turn chain: White → Q4 → 3PT → Q3."
"How many paint shots did Jrue Holiday take?",1,"","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Jrue Holiday%') AND ABS(x) <= 80 AND y <= 190","Multi-Turn Coreference","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Turn 1 anchor: player=Holiday + zone=paint."
"Did he make more than half of them?",2,"How many paint shots did Jrue Holiday take?","SELECT CASE WHEN CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) > 0.5 THEN 'yes' ELSE 'no' END as made_majority FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Jrue Holiday%') AND ABS(x) <= 80 AND y <= 190","Multi-Turn Coreference","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"'he' → Holiday. 'them' → paint shots from Turn 1. 'more than half' → FG% > 0.5 returned as yes/no boolean via CASE WHEN."
