utterance,gold_sql,query_class,state,annotator,nl_user_1,nl_user_2,state_auditor,execution_pass,kappa_agreement,date_completed,notes
"How many shots came from the left corner?","SELECT COUNT(*) FROM shot_charts WHERE x <= -220 AND y <= 90","Spatial Zone","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Left corner 3 zone: x <= -220 AND y <= 90 (tenths of feet). Verified: 382 rows live."
"Only made shots from the left corner.","SELECT COUNT(*) FROM shot_charts WHERE x <= -220 AND y <= 90 AND made_flag = 1","Spatial Zone","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Same zone + made_flag filter. Coreference: 'Only made' adds constraint to prior zone from Turn 1."
"How many shots from the right corner?","SELECT COUNT(*) FROM shot_charts WHERE x >= 220 AND y <= 90","Spatial Zone","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Right corner 3 zone: x >= 220 AND y <= 90. Verified: 394 rows live. Mirror of left corner."
"What about missed ones only?","SELECT COUNT(*) FROM shot_charts WHERE x >= 220 AND y <= 90 AND made_flag = 0","Spatial Zone","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 2 coreference: carries forward right corner zone from Turn 1; adds made_flag = 0 (missed)."
"How many 3-pointers were taken above the break?","SELECT COUNT(*) FROM shot_charts WHERE y > 90 AND distance > 22","Spatial Zone","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Above-the-break 3: y > 90 AND distance > 22 (feet not tenths). Verified: 2706 rows live. Critical: distance in whole feet."
"How many of those were made?","SELECT COUNT(*) FROM shot_charts WHERE y > 90 AND distance > 22 AND made_flag = 1","Spatial Zone","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: adds made_flag = 1 to above-break-3 zone from Turn 1."
"How many shot attempts came from inside the restricted area?","SELECT COUNT(*) FROM shot_charts WHERE distance <= 4 OR (ABS(x) <= 80 AND y <= 190)","Spatial Zone","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Restricted area: distance <= 4 OR paint. Compound filter. Verified zone boundaries. Note: includes both distance-based and coordinate-based filter."
"Which players had the most attempts there?","SELECT p.name, COUNT(*) as attempts FROM shot_charts sc JOIN players p ON sc.player_id = p.player_id WHERE distance <= 4 OR (ABS(x) <= 80 AND y <= 190) GROUP BY p.name ORDER BY attempts DESC","Spatial Zone + Player","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 2: restricted area zone carried forward; aggregated by player name via JOIN. Fixed annotation: return p.name not player_id — conversational query expects readable names."
"Show me all mid-range shot attempts.","SELECT COUNT(*) FROM shot_charts WHERE distance BETWEEN 8 AND 22","Spatial Zone","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Mid-range zone: distance BETWEEN 8 AND 22 (whole feet). Verified: 1383 rows live."
"What percentage of those were made?","SELECT CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts WHERE distance BETWEEN 8 AND 22","Spatial Zone + Comparative","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: adds percentage calculation to mid-range from Turn 1. FLOAT cast prevents integer division."
"How many shots were taken in the paint?","SELECT COUNT(*) FROM shot_charts WHERE ABS(x) <= 80 AND y <= 190","Spatial Zone","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"In-the-paint full lane: ABS(x) <= 80 AND y <= 190. Verified: 3344 rows live. Broader than restricted area."
"What was the shooting percentage in the paint compared to above the break?","SELECT CAST(SUM(CASE WHEN ABS(x) <= 80 AND y <= 190 AND made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / NULLIF(SUM(CASE WHEN ABS(x) <= 80 AND y <= 190 THEN 1 ELSE 0 END), 0) as paint_pct, CAST(SUM(CASE WHEN y > 90 AND distance > 22 AND made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / NULLIF(SUM(CASE WHEN y > 90 AND distance > 22 THEN 1 ELSE 0 END), 0) as above_break_pct FROM shot_charts","Spatial Zone + Comparative","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Two-zone FG% comparison as single-row two-column output. Fixed annotation: inline CAST/NULLIF per zone matches natural model output shape. Verified both values live."
"How many corner 3s — left and right combined?","SELECT COUNT(*) FROM shot_charts WHERE (x <= -220 AND y <= 90) OR (x >= 220 AND y <= 90)","Spatial Zone","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Combined corner 3 zones via OR. Natural phrasing 'combined' triggers OR not AND. Verified: 382 + 394 = 776 total."
"Break it down by left and right.","SELECT CASE WHEN x <= -220 THEN 'left_corner' ELSE 'right_corner' END as corner_side, COUNT(*) as attempts FROM shot_charts WHERE (x <= -220 AND y <= 90) OR (x >= 220 AND y <= 90) GROUP BY corner_side","Spatial Zone","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: carries forward combined corner zone; adds CASE WHEN breakdown by side. GROUP BY pattern."
"Were there any shots taken beyond 30 feet?","SELECT COUNT(*) FROM shot_charts WHERE distance > 30","Spatial Zone","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Deep 3 / half-court attempt filter. Distance in whole feet. No zone name in schema — raw distance filter used."
"What about between 25 and 30 feet?","SELECT COUNT(*) FROM shot_charts WHERE distance BETWEEN 25 AND 30","Spatial Zone","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 2: narrows distance range from Turn 1 (>30). BETWEEN used for bounded range query."
"How many shots were attempted outside the paint but inside the 3-point line?","SELECT COUNT(*) FROM shot_charts WHERE distance BETWEEN 8 AND 22 AND NOT (ABS(x) <= 80 AND y <= 190)","Spatial Zone","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Classic mid-range exclusion: BETWEEN 8 AND 22 feet but NOT in the paint. Two-zone compound filter. Phrasing 'inside the 3-point line' maps to distance < 22."
"How many of Jayson Tatum's shots in Q4 came from the paint?","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Jayson Tatum%') AND period = 4 AND ABS(x) <= 80 AND y <= 190","Spatial Zone + Player + Temporal","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Three-way filter: spatial zone (paint), player subquery, temporal (period = 4). Name resolution via ILIKE for fuzzy match."
