utterance,gold_sql,query_class,state,annotator,nl_user_1,nl_user_2,state_auditor,execution_pass,kappa_agreement,date_completed,notes
"What is the overall field goal percentage?","SELECT CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts","Comparative Aggregation","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Baseline FG% across entire dataset. FLOAT cast prevents integer division."
"How does 3-point percentage compare to 2-point percentage?","SELECT shot_type, CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts GROUP BY shot_type","Comparative Aggregation","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"GROUP BY shot_type gives both 2PT and 3PT percentages side-by-side in one query."
"Which quarter had the highest shooting percentage?","SELECT period, CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts WHERE period BETWEEN 1 AND 4 GROUP BY period ORDER BY fg_pct DESC LIMIT 1","Comparative Aggregation","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"GROUP BY period, ordered by FG%, LIMIT 1. BETWEEN 1 AND 4 excludes OT."
"Show all quarters ranked by shooting percentage.","SELECT period, CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts WHERE period BETWEEN 1 AND 4 GROUP BY period ORDER BY fg_pct DESC","Comparative Aggregation","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 2: drops LIMIT 1 to show all 4 quarters ranked. Same aggregation."
"Which players shot better than 50% from the field?","SELECT p.name, CAST(SUM(CASE WHEN sc.made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts sc JOIN players p ON sc.player_id = p.player_id GROUP BY p.name HAVING CAST(SUM(CASE WHEN sc.made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) > 0.50 ORDER BY fg_pct DESC","Comparative Aggregation","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"HAVING clause filters on FG% > 0.50. No minimum attempt threshold — intentionally open to catch all qualifiers including low-volume players."
"Only players with at least 200 attempts.","SELECT p.name, CAST(SUM(CASE WHEN sc.made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts sc JOIN players p ON sc.player_id = p.player_id GROUP BY p.name HAVING CAST(SUM(CASE WHEN sc.made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) > 0.50 AND COUNT(*) >= 200 ORDER BY fg_pct DESC","Comparative Aggregation","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: adds COUNT(*) >= 200 to HAVING clause. Both conditions must hold — FG% > 50% AND min 200 attempts. SELECT returns name+fg_pct only (attempts is a filter, not a displayed column)."
"Who attempted more shots — Tatum or Jaylen Brown?","SELECT p.name, COUNT(*) as attempts FROM shot_charts sc JOIN players p ON sc.player_id = p.player_id WHERE p.name ILIKE '%Jayson Tatum%' OR p.name ILIKE '%Jaylen Brown%' GROUP BY p.name ORDER BY attempts DESC","Comparative Aggregation","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Two-player comparison via OR + GROUP BY. ORDER BY DESC makes the higher value appear first."
"Who had the better shooting percentage between them?","SELECT p.name, CAST(SUM(CASE WHEN sc.made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts sc JOIN players p ON sc.player_id = p.player_id WHERE p.name ILIKE '%Jayson Tatum%' OR p.name ILIKE '%Jaylen Brown%' GROUP BY p.name ORDER BY fg_pct DESC","Comparative Aggregation","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 2: same two-player filter; swaps metric to FG%. 'Between them' = same two players from Turn 1."
"Which zone had the highest field goal percentage?","SELECT CASE WHEN ABS(x) <= 80 AND y <= 190 THEN 'paint' WHEN y > 90 AND distance > 22 THEN 'above_break_3' WHEN (x <= -220 AND y <= 90) OR (x >= 220 AND y <= 90) THEN 'corner_3' WHEN distance BETWEEN 8 AND 22 THEN 'mid_range' ELSE 'other' END as zone, CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts GROUP BY zone ORDER BY fg_pct DESC LIMIT 1","Comparative Aggregation","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"CASE WHEN assigns each shot to a zone; FG% computed per zone. ORDER BY fg_pct DESC LIMIT 1 returns the best zone."
"Show me all zones ranked.","SELECT CASE WHEN ABS(x) <= 80 AND y <= 190 THEN 'paint' WHEN y > 90 AND distance > 22 THEN 'above_break_3' WHEN (x <= -220 AND y <= 90) OR (x >= 220 AND y <= 90) THEN 'corner_3' WHEN distance BETWEEN 8 AND 22 THEN 'mid_range' ELSE 'other' END as zone, CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct, COUNT(*) as attempts FROM shot_charts GROUP BY zone ORDER BY fg_pct DESC","Comparative Aggregation","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: drops LIMIT 1; adds COUNT(*) as attempts for full context. All zones ranked."
"Were there more made or missed shots overall?","SELECT CASE WHEN made_flag = 1 THEN 'made' ELSE 'missed' END as result, COUNT(*) as count FROM shot_charts GROUP BY made_flag ORDER BY count DESC","Comparative Aggregation","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Simple made vs missed split via CASE WHEN on made_flag. Expected: missed > made (FG% ~48%)."
"Which period had the most missed shots?","SELECT period, SUM(CASE WHEN made_flag = 0 THEN 1 ELSE 0 END) as misses FROM shot_charts WHERE period BETWEEN 1 AND 4 GROUP BY period ORDER BY misses DESC LIMIT 1","Comparative Aggregation","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 2: filters to regulation periods; aggregates misses (made_flag = 0) per period. SUM(CASE WHEN) pattern."
"Which player had the most 3-point attempts but the lowest percentage?","SELECT p.name, COUNT(*) as threes_attempted, CAST(SUM(CASE WHEN sc.made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as pct FROM shot_charts sc JOIN players p ON sc.player_id = p.player_id WHERE sc.shot_type = '3PT Field Goal' GROUP BY p.name ORDER BY threes_attempted DESC, pct ASC LIMIT 1","Comparative Aggregation","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Two-criteria ORDER BY: most attempts first (DESC), then lowest % (ASC). LIMIT 1 finds the player with most volume but worst efficiency. Interesting NL phrasing requiring compound sort."
"How does paint FG% compare to mid-range FG%?","SELECT CASE WHEN ABS(x) <= 80 AND y <= 190 THEN 'paint' WHEN distance BETWEEN 8 AND 22 THEN 'mid_range' END as zone, CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts WHERE (ABS(x) <= 80 AND y <= 190) OR (distance BETWEEN 8 AND 22) GROUP BY zone","Comparative Aggregation","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Two-zone comparison. WHERE clause limits to only the two zones being compared before GROUP BY."
"Did Tatum shoot better in Q1 or Q4?","SELECT period, CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Jayson Tatum%') AND period IN (1, 4) GROUP BY period ORDER BY period","Comparative Aggregation","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Player subquery + period IN (1,4) + GROUP BY period. Returns Q1 and Q4 FG% for Tatum to compare directly."
"Which of the top 3 shooters had the best paint percentage?","SELECT p.name, CAST(SUM(CASE WHEN sc.made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as paint_pct FROM shot_charts sc JOIN players p ON sc.player_id = p.player_id WHERE p.name IN ('Jayson Tatum','Jaylen Brown','Derrick White') AND ABS(sc.x) <= 80 AND sc.y <= 190 GROUP BY p.name ORDER BY paint_pct DESC LIMIT 1","Comparative Aggregation","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"'Top 3 shooters' resolved from prior context (Tatum, J.Brown, White by attempt count). Paint zone + FG% + LIMIT 1."
"How many players averaged more than 5 shots per game?","SELECT p.name, CAST(COUNT(*) AS FLOAT) / (SELECT COUNT(DISTINCT game_id) FROM shot_charts) as shots_per_game FROM shot_charts sc JOIN players p ON sc.player_id = p.player_id GROUP BY p.name HAVING CAST(COUNT(*) AS FLOAT) / (SELECT COUNT(DISTINCT game_id) FROM shot_charts) > 5 ORDER BY shots_per_game DESC","Comparative Aggregation","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Subquery for total game count used as denominator. HAVING on computed per-game average. Tests nested subquery in HAVING."
"Which was higher — 3-point volume or 2-point volume?","SELECT shot_type, COUNT(*) as attempts FROM shot_charts GROUP BY shot_type ORDER BY attempts DESC","Comparative Aggregation","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Simple volume comparison by shot_type. Verified: 3PT=3482, 2PT=3914 — 2PT higher by volume. Tests NL 'which was higher' → ORDER BY DESC."
