utterance,gold_sql,query_class,state,annotator,nl_user_1,nl_user_2,state_auditor,execution_pass,kappa_agreement,date_completed,notes
"How many shots were taken from beyond 28 feet?","SELECT COUNT(*) FROM shot_charts WHERE distance > 28","Shot Characteristics","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Deep 3 / half-court range. distance in whole feet. Verified: 140 shots."
"How many of those went in?","SELECT COUNT(*) FROM shot_charts WHERE distance > 28 AND made_flag = 1","Shot Characteristics","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: carries distance > 28 forward; adds made_flag = 1."
"How many shots were taken within 4 feet of the basket?","SELECT COUNT(*) FROM shot_charts WHERE distance <= 4","Shot Characteristics","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Restricted area / layup range. distance <= 4 feet. Verified: 2221 shots."
"What was the shooting percentage from that range?","SELECT CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts WHERE distance <= 4","Shot Characteristics","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 2: carries distance <= 4; adds FG% metric. Highest expected percentage in dataset."
"How many shots came from between 15 and 20 feet?","SELECT COUNT(*) FROM shot_charts WHERE distance BETWEEN 15 AND 20","Shot Characteristics","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Classic mid-range elbow range. BETWEEN 15 AND 20 feet. Verified: 440 shots."
"How many were made from that distance?","SELECT COUNT(*) FROM shot_charts WHERE distance BETWEEN 15 AND 20 AND made_flag = 1","Shot Characteristics","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: same distance range; adds made_flag = 1."
"Were there any shots from half court or beyond?","SELECT COUNT(*) FROM shot_charts WHERE distance >= 47","Shot Characteristics","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"NBA half court = ~47 feet. distance >= 47. Tests extreme distance range; verified max distance = 76ft in dataset."
"What is the average shot distance in the dataset?","SELECT ROUND(AVG(distance), 1) as avg_distance FROM shot_charts","Shot Characteristics","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"AVG(distance) with ROUND to 1 decimal. Useful baseline characteristic of the shot profile."
"What is the average distance on made shots versus missed shots?","SELECT CASE WHEN made_flag = 1 THEN 'made' ELSE 'missed' END as result, ROUND(AVG(distance), 1) as avg_distance FROM shot_charts GROUP BY made_flag ORDER BY made_flag DESC","Shot Characteristics","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"CASE WHEN labels + AVG(distance) per outcome. Tests whether makes cluster closer to basket than misses."
"How many shots were taken at exactly 0 feet — dunks and tip-ins?","SELECT COUNT(*) FROM shot_charts WHERE distance = 0","Shot Characteristics","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"distance = 0 captures dunks, layup tip-ins at the rim. Verified: 489 shots."
"What percentage of 0-foot attempts were made?","SELECT CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts WHERE distance = 0","Shot Characteristics","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Turn 2: distance = 0 carried; FG% metric. Expected very high — dunks rarely missed."
"How many shots came from the left side of the court?","SELECT COUNT(*) FROM shot_charts WHERE x < 0","Shot Characteristics","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"x < 0 = left side of court (x is negative for left, positive for right in nba_api coordinate system). No distance filter."
"How many came from the right side?","SELECT COUNT(*) FROM shot_charts WHERE x > 0","Shot Characteristics","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Turn 2: mirrors pair 12. x > 0 = right side. Together reveals court side shot distribution."
"How many contested shots were there?","SELECT COUNT(*) FROM shot_charts WHERE defender IS NOT NULL","Shot Characteristics","needs_revision","Rosalina","Craig","Sean","Sean",FALSE,,,"Bug: defender column is NULL for all 7396 rows — ShotChartDetail API does not provide defender information. Returns 0. SQL structurally correct. Annotation note: any NL query about 'contested' shots must be flagged clarification_needed — data is unavailable in this endpoint."
"How many shots were taken with less than 5 seconds left in the period?","SELECT COUNT(*) FROM shot_charts WHERE (minutes_remaining * 60 + period_seconds_remaining) <= 5","Shot Characteristics","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Bug 11 resolved: minutes_remaining backfilled. Verified: 229 shots in final 5 seconds of any period."
