utterance,gold_sql,query_class,state,annotator,nl_user_1,nl_user_2,state_auditor,execution_pass,kappa_agreement,date_completed,notes
"How many shots did Jayson Tatum take?","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Jayson Tatum%')","Player/Entity","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"Player subquery via ILIKE for fuzzy name match. Verified: 1426 shots. player_id = 1628369."
"How many did he make?","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Jayson Tatum%') AND made_flag = 1","Player/Entity","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: carries forward Tatum subquery; adds made_flag = 1. 'He' resolved to Tatum from Turn 1."
"How many shots did Jaylen Brown take?","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Jaylen Brown%')","Player/Entity","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"Separate query for Jaylen Brown. player_id = 1627759. Verified: 1256 shots. Distinct from 'Brown' ambiguity — ILIKE '%Jaylen Brown%' disambiguates."
"Compare his attempts to Tatum's.","SELECT p.name, COUNT(*) as attempts FROM shot_charts sc JOIN players p ON sc.player_id = p.player_id WHERE p.name ILIKE '%Jaylen Brown%' OR p.name ILIKE '%Jayson Tatum%' GROUP BY p.name","Player/Entity + Comparative","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 2: 'his' resolved to Jaylen Brown from Turn 1; Tatum from prior context. Two-player comparison via OR filter + GROUP BY."
"Who took the most shots on the team?","SELECT p.name, COUNT(*) as attempts FROM shot_charts sc JOIN players p ON sc.player_id = p.player_id GROUP BY p.name ORDER BY attempts DESC LIMIT 1","Player/Entity","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"No filter — aggregate over all players in shot_charts. ORDER BY DESC LIMIT 1 returns top shooter. Verified: Jayson Tatum (1426)."
"Show me the top 5 shooters by attempts.","SELECT p.name, COUNT(*) as attempts FROM shot_charts sc JOIN players p ON sc.player_id = p.player_id GROUP BY p.name ORDER BY attempts DESC LIMIT 5","Player/Entity","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: same aggregation; swaps LIMIT 1 to LIMIT 5. Verified top 5: Tatum, J.Brown, White, Porzingis, Holiday."
"How many shots did Derrick White take?","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Derrick White%')","Player/Entity","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"player_id = 1628401. Verified: 839 shots. 'Derrick White' — full name used to avoid ambiguity with other Whites in players table."
"What was his field goal percentage?","SELECT CAST(SUM(CASE WHEN made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Derrick White%')","Player/Entity + Comparative","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"Turn 2: 'his' resolved to Derrick White from Turn 1. FG% = made / attempted as FLOAT."
"How many shots did Jrue Holiday take from 3?","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Jrue Holiday%') AND shot_type = '3PT Field Goal'","Player/Entity + Spatial","approved","Rosalina","Craig","Sean","Craig",TRUE,,,"player_id = 201950. Compound filter: player + shot_type. '3' maps to shot_type = '3PT Field Goal'."
"What about Al Horford?","SELECT COUNT(*) FROM shot_charts WHERE player_id = (SELECT player_id FROM players WHERE name ILIKE '%Al Horford%') AND shot_type = '3PT Field Goal'","Player/Entity + Spatial","approved","Rosalina","Craig","Sean","Sean",TRUE,,,"Turn 2: swaps player from Jrue Holiday to Al Horford; carries forward 3PT filter. player_id = 201143."
"Who had the best shooting percentage among players with at least 100 attempts?","SELECT p.name, CAST(SUM(CASE WHEN sc.made_flag = 1 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) as fg_pct FROM shot_charts sc JOIN players p ON sc.player_id = p.player_id GROUP BY p.name HAVING COUNT(*) >= 100 ORDER BY fg_pct DESC LIMIT 1","Player/Entity + Comparative","approved","Rosalina","Sean","Craig","Craig",TRUE,,,"HAVING clause filters minimum attempt threshold before ranking. Best FG% among qualified players."
"Show all players with more than 500 attempts.","SELECT p.name, COUNT(*) as attempts FROM shot_charts sc JOIN players p ON sc.player_id = p.player_id GROUP BY p.name HAVING COUNT(*) > 500 ORDER BY attempts DESC","Player/Entity","approved","Rosalina","Sean","Craig","Sean",TRUE,,,"HAVING COUNT(*) > 500. Verified: Tatum (1426), J.Brown (1256), White (839), Porzingis (752), Holiday (689), Pritchard (635), Hauser (558) qualify."
